TZname,UTCoffset
Europe/Amsterdam,1
Europe/Andorra,1
Europe/Astrakhan,4
Europe/Athens,2
Europe/Belfast,0
Europe/Belgrade,1
Europe/Berlin,1
Europe/Bratislava,1
Europe/Brussels,1
Europe/Bucharest,2
Europe/Budapest,1
Europe/Busingen,1
Europe/Chisinau,2
Europe/Copenhagen,1
Europe/Dublin,0
Europe/Gibraltar,1
Europe/Guernsey,0
Europe/Helsinki,2
Europe/Isle_of_Man,0
Europe/Istanbul,3
Europe/Jersey,0
Europe/Kaliningrad,2
Europe/Kiev,2
Europe/Kirov,3
Europe/Lisbon,0
Europe/Ljubljana,1
Europe/London,0
Europe/Luxembourg,1
Europe/Madrid,1
Europe/Malta,1
Europe/Mariehamn,2
Europe/Minsk,3
Europe/Monaco,1
Europe/Moscow,3
Asia/Nicosia,2
Europe/Oslo,1
Europe/Paris,1
Europe/Podgorica,1
Europe/Prague,1
Europe/Riga,2
Europe/Rome,1
Europe/Samara,4
Europe/San_Marino,1
Europe/Sarajevo,1
Europe/Saratov,4
Europe/Simferopol,3
Europe/Skopje,1
Europe/Sofia,2
Europe/Stockholm,1
Europe/Tallinn,2
Europe/Tirane,1
Europe/Tiraspol,2
Europe/Ulyanovsk,4
Europe/Uzhgorod,2
Europe/Vaduz,1
Europe/Vatican,1
Europe/Vienna,1
Europe/Vilnius,2
Europe/Volgograd,4
Europe/Warsaw,1
Europe/Zagreb,1
Europe/Zaporozhye,2
Europe/Zurich,1
GB,0
GB-Eire,0
GMT,0
GMT+0,0
GMT0,0
GMT?0,0
Greenwich,0
Hongkong,8
HST,-10
Iceland,0
Indian/Antananarivo,3
Indian/Chagos,6
Indian/Christmas,7
Indian/Cocos,6
Indian/Comoro,3
Indian/Kerguelen,5
Indian/Mahe,4
Indian/Maldives,5
Indian/Mauritius,4
Indian/Mayotte,3
Indian/Reunion,4
Iran,3
Israel,2
Jamaica,-5
Japan,9
Kwajalein,12
Libya,2
MET,1
Mexico/BajaNorte,-8
Mexico/BajaSur,-7
Mexico/General,-6
MST,-7
MST7MDT,-7
Navajo,-7
NZ,12
NZ-CHAT,12
Pacific/Apia,13
Pacific/Auckland,12
Pacific/Bougainville,11
Pacific/Chatham,12
Pacific/Chuuk,10
Pacific/Easter,-6
Pacific/Efate,11
Pacific/Enderbury,13
Pacific/Fakaofo,13
Pacific/Fiji,12
Pacific/Funafuti,12
Pacific/Galapagos,-6
Pacific/Gambier,-9
Pacific/Guadalcanal,11
Pacific/Guam,10
Pacific/Honolulu,-10
Pacific/Johnston,-10
Pacific/Kiritimati,14
Pacific/Kosrae,11
Pacific/Kwajalein,12
Pacific/Majuro,12
Pacific/Marquesas,-9
Pacific/Midway,-11
Pacific/Nauru,12
Pacific/Niue,-11
Pacific/Norfolk,11
Pacific/Noumea,11
Pacific/Pago_Pago,-11
Pacific/Palau,9
Pacific/Pitcairn,-8
Pacific/Pohnpei,11
Pacific/Ponape,11
Pacific/Port_Moresby,10
Pacific/Rarotonga,-10
Pacific/Saipan,10
Pacific/Samoa,-11
Pacific/Tahiti,-10
Pacific/Tarawa,12
Pacific/Tongatapu,13
Pacific/Truk,10
Pacific/Wake,12
Pacific/Wallis,12
Pacific/Yap,10
Poland,1
Portugal,0
PRC,8
PST8PDT,-8
ROC,8
ROK,9
Singapore,8
Turkey,3
UCT,0
Universal,0
US/Alaska,-9
US/Aleutian,-10
US/Arizona,-7
US/Central,-6
US/Eastern,-5
US/East-Indiana,-5
US/Hawaii,-10
US/Indiana-Starke,-6
US/Michigan,-5
US/Mountain,-7
US/Pacific,-8
US/Pacific-New,-8
US/Samoa,-11
UTC,0
WET,0
W-SU,3
Zulu,0
